islem_id,plaka,gecis_tarihi,tutar,gecis_noktasi,operator
TX00024,36 KV 1335,2026-08-15 17:06,13.25,TEM Otoyol G.,HGS-C
TX00025,12 YU 2824,2026-08-14 15:30,17.5,15 Temmuz Köprüsü,HGS-A
TX00025,12 YU 2824,2026-08-14 15:30,17.5,15 Temmuz Köprüsü,HGS-A
TX00026,01 ZG 7554,2026-08-10 13:44,8.5,Avrasya Tüneli,HGS-C
TX00027,20 EF 1058,2026-08-19 23:34,16.25,TEM Otoyol G.,HGS-B
TX00028,65 YM 1031,2026-08-17 02:54,15.0,Kavacık G.,HGS-C
TX00029,52 CV 4133,2026-08-19 19:02,44.0,Kavacık G.,HGS-B
TX00031,39 KY 1288,2026-08-01 14:39,44.0,Kavacık G.,HGS-A
TX00032,65 GY 1227,2026-08-29 07:23,22.0,Zincirlikuyu G.,HGS-B
TX00033,39 OZ 8766,2026-08-02 11:52,44.0,Fatih SM G.,HGS-C
TX00034,34 CC 9164,2026-08-05 08:18,44.0,Zincirlikuyu G.,HGS-C
TX00035,34 LF 932,2026-08-03 20:27,22.0,Kavacık G.,HGS-A
TX00036,17 OG 7339,2026-08-18 22:27,41.5,Kavacık G.,HGS-A
TX00037,70 AI 9152,2026-08-05 13:08,13.25,Fatih SM G.,HGS-B
TX00038,06 VE 4188,2026-08-22 03:22,44.0,15 Temmuz Köprüsü,HGS-C
TX00039,31 UZ 3000,2026-08-29 13:01,17.5,TEM Otoyol G.,HGS-B
TX00040,53 TU 4165,2026-08-09 05:50,8.5,Kavacık G.,HGS-B
TX00041,61 FT 7641,2026-08-12 09:52,17.5,Zincirlikuyu G.,HGS-A
TX00042,52 HU 4673,2026-08-12 20:32,35.75,TEM Otoyol G.,HGS-C
TX00043,04 CZ 3025,2026-08-19 08:02,13.25,Avrasya Tüneli,HGS-B
TX00044,41 KZ 1994,2026-08-13 18:12,22.0,Kavacık G.,HGS-C
TX00045,67 YM 3328,2026-08-12 13:04,8.5,Fatih SM G.,HGS-C
TX00046,16 RG 5167,2026-08-22 13:20,35.75,TEM Otoyol G.,HGS-B
TX00047,25 JY 2951,2026-08-20 18:19,35.75,Avrasya Tüneli,HGS-A
TX00048,27 JN 5379,2026-08-15 14:28,8.5,Zincirlikuyu G.,HGS-C
TX00050,06 FK 1293,2026-08-15 13:56,8.5,Avrasya Tüneli,HGS-A
TX00051,50 LF 190,2026-08-29 03:49,35.75,Zincirlikuyu G.,HGS-A
TX00052,67 KM 2088,2026-08-15 04:51,35.75,TEM Otoyol G.,HGS-C
TX00053,77 HS 7351,2026-08-20 23:57,44.0,15 Temmuz Köprüsü,HGS-C
TX00054,21 SK 4346,2026-08-25 07:53,8.5,Fatih SM G.,HGS-C
TX00056,30 ID 3605,2026-08-03 13:26,22.0,Avrasya Tüneli,HGS-B
TX00057,27 UI 9669,2026-08-23 00:54,45.5,15 Temmuz Köprüsü,HGS-B
TX00058,39 SU 6965,2026-08-18 23:47,44.0,Avrasya Tüneli,HGS-A
TX00059,35 KA 5607,2026-08-22 21:51,35.75,TEM Otoyol G.,HGS-A
TX00060,17 ZM 6555,2026-08-19 18:42,13.25,Kavacık G.,HGS-C
TX00061,60 EF 5463,2026-08-07 14:20,22.0,15 Temmuz Köprüsü,HGS-B
TX00062,54 FB 417,2026-08-24 17:03,17.0,Zincirlikuyu G.,HGS-C
TX00063,04 YE 433,2026-08-20 23:15,17.5,15 Temmuz Köprüsü,HGS-C
TX00064,60 RS 2849,2026-08-20 19:47,8.5,Kavacık G.,HGS-A
TX00065,14 NY 9533,2026-08-22 12:25,8.5,Zincirlikuyu G.,HGS-A
TX00066,81 FR 5041,2026-08-28 21:38,13.25,Avrasya Tüneli,HGS-A
TX00067,55 PB 5690,2026-08-01 13:52,35.75,Kavacık G.,HGS-B
TX00068,59 RK 8648,2026-08-21 08:39,44.0,15 Temmuz Köprüsü,HGS-B
TX00069,76 GU 1519,2026-08-09 14:15,35.75,Avrasya Tüneli,HGS-C
TX00070,44 AU 3079,2026-08-16 06:22,22.0,Fatih SM G.,HGS-B
TX00071,36 ML 3230,2026-08-03 07:46,35.75,15 Temmuz Köprüsü,HGS-C
TX00072,61 OL 382,2026-08-03 09:14,35.75,TEM Otoyol G.,HGS-A
TX00073,75 IM 5732,2026-08-14 23:35,22.0,Fatih SM G.,HGS-C
TX00074,40 FC 3255,2026-08-11 03:47,44.0,TEM Otoyol G.,HGS-A
TX00075,62 GN 8695,2026-08-20 09:06,17.5,Fatih SM G.,HGS-A
TX00076,39 AM 4594,2026-08-02 01:35,22.0,TEM Otoyol G.,HGS-A
TX00077,63 CA 4758,2026-08-16 15:28,22.0,Zincirlikuyu G.,HGS-A
TX00079,73 YB 4166,2026-08-04 17:48,35.75,Avrasya Tüneli,HGS-C
TX00080,29 SI 7353,2026-08-10 18:27,17.0,Avrasya Tüneli,HGS-C
TX00081,27 OG 1430,2026-08-06 07:11,47.0,Kavacık G.,HGS-A
TX00082,77 KA 4820,2026-08-23 09:44,35.75,Kavacık G.,HGS-C
TX00083,34 TO 3341,2026-08-14 03:34,17.5,TEM Otoyol G.,HGS-A
TX00084,19 BD 5139,2026-08-22 00:52,44.0,Fatih SM G.,HGS-B
TX00085,52 YL 8190,2026-08-15 02:38,13.25,15 Temmuz Köprüsü,HGS-C
TX00086,33 AF 9524,2026-08-19 00:48,6.0,Fatih SM G.,HGS-C
TX00087,61 LK 4657,2026-08-06 18:27,8.5,15 Temmuz Köprüsü,HGS-A
TX00088,53 HP 2734,2026-08-11 13:44,35.75,Fatih SM G.,HGS-C
TX00089,71 AC 4235,2026-08-11 03:49,35.75,Avrasya Tüneli,HGS-A
TX00090,70 KB 8594,2026-08-12 19:48,35.75,TEM Otoyol G.,HGS-B
TX00091,27 GD 4819,2026-08-15 22:31,13.25,Kavacık G.,HGS-C
TX00092,31 RH 324,2026-08-18 13:05,17.5,Kavacık G.,HGS-B
TX00093,20 LR 8437,2026-08-23 08:26,35.75,15 Temmuz Köprüsü,HGS-A
TX00094,19 IY 8427,2026-08-24 04:55,13.25,Fatih SM G.,HGS-B
TX00095,65 GA 4991,2026-08-27 18:37,8.5,15 Temmuz Köprüsü,HGS-A
TX00096,62 HM 9003,2026-08-13 14:59,22.0,Zincirlikuyu G.,HGS-C
TX00097,50 FS 815,2026-08-11 23:30,8.5,15 Temmuz Köprüsü,HGS-B
TX00098,20 LA 8329,2026-08-19 10:55,13.25,15 Temmuz Köprüsü,HGS-A
TX00099,59 AD 2629,2026-08-03 15:50,22.0,Fatih SM G.,HGS-C
TX00100,11 UU 8842,2026-08-13 10:40,3.5,15 Temmuz Köprüsü,HGS-C
TX00101,31 OY 3827,2026-08-24 02:27,13.25,TEM Otoyol G.,HGS-C
TX00102,57 DG 574,2026-08-02 10:50,13.25,Fatih SM G.,HGS-B
TX00103,19 FJ 3050,2026-08-06 05:05,44.0,15 Temmuz Köprüsü,HGS-C
TX00104,64 VD 7655,2026-08-21 08:29,22.0,TEM Otoyol G.,HGS-A
TX00105,60 VP 2688,2026-08-03 14:22,44.0,Fatih SM G.,HGS-C
TX00106,33 KG 6402,2026-08-28 15:06,17.5,15 Temmuz Köprüsü,HGS-C
TX00107,38 ZG 6584,2026-08-09 00:36,8.5,TEM Otoyol G.,HGS-A
TX00108,64 UV 3870,2026-08-20 11:14,8.5,Zincirlikuyu G.,HGS-C
TX00110,38 HJ 3389,2026-08-05 17:56,22.0,Avrasya Tüneli,HGS-C
TX00111,22 FT 7994,2026-08-26 09:47,22.0,Kavacık G.,HGS-B
TX00112,19 SF 6611,2026-08-28 17:23,13.25,15 Temmuz Köprüsü,HGS-A
TX00113,16 KP 4395,2026-08-19 12:52,8.5,Fatih SM G.,HGS-A
TX00114,61 AV 9298,2026-08-11 19:14,8.5,Kavacık G.,HGS-C
TX00115,39 OC 842,2026-08-02 09:31,13.25,Kavacık G.,HGS-A
TX00116,18 II 8950,2026-08-14 18:47,8.5,Zincirlikuyu G.,HGS-B
TX00117,63 OY 4683,2026-08-02 22:23,17.5,15 Temmuz Köprüsü,HGS-B
TX00118,47 CP 9020,2026-08-29 20:22,13.25,15 Temmuz Köprüsü,HGS-B
TX00119,16 YT 1601,2026-08-22 06:41,10.0,Avrasya Tüneli,HGS-A
TX00120,32 ZT 3462,2026-08-03 17:13,44.0,Zincirlikuyu G.,HGS-A
TX00121,19 TN 4642,2026-08-28 11:08,44.0,Fatih SM G.,HGS-A
TX00122,17 AT 3998,2026-08-20 18:01,17.5,Fatih SM G.,HGS-A
TX00123,68 CB 7444,2026-08-25 11:32,44.0,Kavacık G.,HGS-B
TX00124,79 AT 8643,2026-08-10 14:41,13.25,Kavacık G.,HGS-B
TX00125,55 PL 7367,2026-08-04 23:20,44.0,Zincirlikuyu G.,HGS-A
TX00126,75 MH 9887,2026-08-17 22:29,44.0,Avrasya Tüneli,HGS-B
TX00127,71 RE 7498,2026-08-29 07:26,22.0,15 Temmuz Köprüsü,HGS-B
TX00128,13 HH 4276,2026-08-12 04:43,35.75,Kavacık G.,HGS-A
TX00129,12 JS 6205,2026-08-26 04:35,13.25,Avrasya Tüneli,HGS-C
TX00130,16 JV 7029,2026-08-28 23:03,22.0,Avrasya Tüneli,HGS-B
TX00131,74 LD 8000,2026-08-08 03:22,44.0,Fatih SM G.,HGS-A
TX00132,74 FJ 9290,2026-08-25 19:39,10.0,TEM Otoyol G.,HGS-C
TX00133,04 ER 5162,2026-08-30 10:22,13.25,Zincirlikuyu G.,HGS-A
TX00134,52 BS 602,2026-08-03 23:33,17.5,15 Temmuz Köprüsü,HGS-B
TX00135,21 IR 9399,2026-08-20 02:56,13.25,Zincirlikuyu G.,HGS-A
TX00136,07 PG 7047,2026-08-16 19:28,35.75,Fatih SM G.,HGS-A
TX00137,15 HC 9817,2026-08-16 16:42,22.0,Kavacık G.,HGS-A
TX00138,77 BE 3560,2026-08-26 17:48,22.0,Fatih SM G.,HGS-B
TX00139,56 EI 3870,2026-08-17 17:53,8.5,Fatih SM G.,HGS-A
TX00140,06 KK 1375,2026-08-28 10:36,35.75,Avrasya Tüneli,HGS-B
TX00141,54 GJ 5421,2026-08-06 19:29,8.5,Fatih SM G.,HGS-A
TX00142,14 FN 8684,2026-08-03 12:55,22.0,TEM Otoyol G.,HGS-B
TX00143,22 BO 8793,2026-08-17 06:57,22.0,Fatih SM G.,HGS-C
TX00144,19 FD 3332,2026-08-06 19:09,8.5,Kavacık G.,HGS-A
TX00145,81 LS 9594,2026-08-15 21:59,44.0,TEM Otoyol G.,HGS-C
TX00146,42 UO 2573,2026-08-15 02:30,35.75,TEM Otoyol G.,HGS-B
TX00147,76 BL 5185,2026-08-15 14:02,8.25,Fatih SM G.,HGS-B
TX00148,79 NI 9608,2026-08-18 23:57,13.25,15 Temmuz Köprüsü,HGS-C
TX00149,42 NL 1113,2026-08-15 03:51,22.0,TEM Otoyol G.,HGS-A
TX00150,23 AR 7299,2026-08-17 16:39,17.5,Fatih SM G.,HGS-B
TX00151,50 JH 9895,2026-08-04 02:41,22.0,Kavacık G.,HGS-B
TX00153,45 HP 6521,2026-08-05 19:45,13.25,Fatih SM G.,HGS-C
TX00154,43 TP 8724,2026-08-03 20:42,37.25,Avrasya Tüneli,HGS-B
TX00155,24 YH 8067,2026-08-07 07:08,17.5,Kavacık G.,HGS-B
TX00156,13 LM 8726,2026-08-02 21:21,44.0,Zincirlikuyu G.,HGS-C
TX00157,21 EP 2812,2026-08-24 14:02,35.75,Fatih SM G.,HGS-C
TX00158,57 OS 7455,2026-08-08 17:15,22.0,15 Temmuz Köprüsü,HGS-A
TX00159,74 ZK 4716,2026-08-25 12:32,44.0,15 Temmuz Köprüsü,HGS-A
TX00160,78 DF 7973,2026-08-28 11:35,13.25,TEM Otoyol G.,HGS-C
TX00161,37 BD 7461,2026-08-29 16:09,35.75,Kavacık G.,HGS-A
TX00162,45 YJ 6595,2026-08-17 11:15,35.75,Kavacık G.,HGS-B
TX00163,41 YU 5593,2026-08-26 04:08,13.25,Fatih SM G.,HGS-B
TX00164,18 SK 186,2026-08-29 02:01,22.0,Zincirlikuyu G.,HGS-A
TX00165,78 MC 4820,2026-08-08 09:07,13.25,Zincirlikuyu G.,HGS-B
TX00166,80 KC 8289,2026-08-20 17:01,8.5,Avrasya Tüneli,HGS-C
TX00167,19 GA 5880,2026-08-09 23:26,17.5,TEM Otoyol G.,HGS-C
TX00168,09 YM 8416,2026-08-18 00:24,35.75,Kavacık G.,HGS-C
TX00169,48 FA 1206,2026-08-12 07:46,8.5,TEM Otoyol G.,HGS-A
TX00170,43 DI 5646,2026-08-27 20:11,8.5,15 Temmuz Köprüsü,HGS-C
TX00171,24 TB 7598,2026-08-02 09:12,13.25,Zincirlikuyu G.,HGS-A
TX00172,40 LZ 8997,2026-08-16 08:02,8.5,Zincirlikuyu G.,HGS-B
TX00173,07 UH 2139,2026-08-26 11:27,35.75,TEM Otoyol G.,HGS-B
TX00174,50 HE 8251,2026-08-12 16:17,10.75,TEM Otoyol G.,HGS-B
TX00175,70 GC 5472,2026-08-22 09:19,35.75,Avrasya Tüneli,HGS-C
TX00176,57 IA 5876,2026-08-20 13:17,8.5,Kavacık G.,HGS-A
TX00177,52 IT 2721,2026-08-01 04:54,39.0,TEM Otoyol G.,HGS-B
TX00178,31 SI 6372,2026-08-19 01:38,17.5,TEM Otoyol G.,HGS-B
TX00179,48 KB 2355,2026-08-17 11:25,22.0,TEM Otoyol G.,HGS-B
TX00180,15 AE 8582,2026-08-13 17:07,22.0,Fatih SM G.,HGS-C
TX00181,79 GY 8147,2026-08-07 03:08,13.25,15 Temmuz Köprüsü,HGS-A
TX00182,57 ZT 5336,2026-08-22 11:45,13.25,Avrasya Tüneli,HGS-C
TX00183,39 UR 2952,2026-08-26 11:32,17.5,Kavacık G.,HGS-A
TX00184,31 TA 9177,2026-08-19 11:29,44.0,Zincirlikuyu G.,HGS-C
TX00185,09 HZ 7942,2026-08-18 15:49,35.75,Avrasya Tüneli,HGS-A
TX00186,10 KP 5744,2026-08-05 17:40,44.0,Zincirlikuyu G.,HGS-A
TX00187,08 UL 5082,2026-08-06 05:20,8.5,Zincirlikuyu G.,HGS-B
TX00188,67 VU 4205,2026-08-07 20:35,22.0,Zincirlikuyu G.,HGS-C
TX00189,69 CO 9796,2026-08-19 04:10,8.5,Avrasya Tüneli,HGS-C
TX00190,44 UM 564,2026-08-03 01:41,44.0,Fatih SM G.,HGS-C
TX00191,74 JO 8259,2026-08-29 20:34,22.0,TEM Otoyol G.,HGS-B
TX00192,52 GB 1081,2026-08-06 14:26,35.75,15 Temmuz Köprüsü,HGS-A
TX00193,19 HR 5758,2026-08-14 01:48,22.0,Avrasya Tüneli,HGS-C
TX00194,60 CK 2408,2026-08-04 01:18,35.75,Avrasya Tüneli,HGS-B
TX00195,21 TY 5223,2026-08-07 05:31,44.0,15 Temmuz Köprüsü,HGS-B
TX00196,64 AY 8381,2026-08-15 07:13,47.0,Fatih SM G.,HGS-A
TX00197,77 VP 7810,2026-08-10 17:00,13.25,15 Temmuz Köprüsü,HGS-A
TX00198,47 SI 6663,2026-08-02 18:35,17.5,Fatih SM G.,HGS-C
TX00199,50 LS 4682,2026-08-27 19:43,44.0,Kavacık G.,HGS-A
TX00200,51 IZ 9239,2026-08-12 04:12,44.0,Avrasya Tüneli,HGS-B
TX00201,06 AR 7861,2026-08-17 14:09,44.0,Avrasya Tüneli,HGS-A
TX00202,79 HJ 5002,2026-08-19 10:32,44.0,Avrasya Tüneli,HGS-B
TX00203,39 KA 5527,2026-08-22 03:26,44.0,Fatih SM G.,HGS-C
TX00204,81 AK 9577,2026-08-19 07:46,13.25,Avrasya Tüneli,HGS-B
TX00205,81 RS 6329,2026-08-06 04:15,13.25,Avrasya Tüneli,HGS-C
TX00206,57 HD 3440,2026-08-14 16:49,44.0,15 Temmuz Köprüsü,HGS-C
TX00207,18 LM 7937,2026-08-17 12:20,17.5,15 Temmuz Köprüsü,HGS-C
TX00208,46 PU 4431,2026-08-20 15:12,17.5,Fatih SM G.,HGS-C
TX00209,39 SR 8111,2026-08-11 15:22,44.0,TEM Otoyol G.,HGS-B
TX00210,74 PI 6564,2026-08-27 11:49,17.5,Fatih SM G.,HGS-A
TX00211,11 HK 4301,2026-08-24 15:13,17.5,Avrasya Tüneli,HGS-B
TX00212,35 DO 9714,2026-08-08 07:03,8.5,Avrasya Tüneli,HGS-A
TX00213,07 CH 7839,2026-08-04 21:49,17.5,Kavacık G.,HGS-C
TX00214,21 JY 7893,2026-08-16 20:12,22.0,Fatih SM G.,HGS-B
TX00215,12 PF 711,2026-08-30 05:26,17.5,Kavacık G.,HGS-B
TX00216,24 YZ 4842,2026-08-30 04:00,22.0,Avrasya Tüneli,HGS-C
TX00217,37 KO 8690,2026-08-16 04:54,44.0,15 Temmuz Köprüsü,HGS-B
TX00218,15 HR 4315,2026-08-23 05:00,8.5,Fatih SM G.,HGS-B
TX00219,25 EU 6743,2026-08-27 13:32,22.0,Kavacık G.,HGS-B
TX00220,24 ZK 4164,2026-08-01 08:24,17.5,15 Temmuz Köprüsü,HGS-B
TX00221,39 NN 4385,2026-08-22 12:44,17.5,Kavacık G.,HGS-C
TX00222,21 JL 5195,2026-08-23 03:40,22.0,Fatih SM G.,HGS-C
TX00223,18 KK 6221,2026-08-14 22:35,35.75,Avrasya Tüneli,HGS-C
TX00224,32 PN 1441,2026-08-17 14:33,8.5,Fatih SM G.,HGS-A
TX00225,15 BM 8381,2026-08-07 18:34,17.5,Zincirlikuyu G.,HGS-B
TX00226,57 CE 9654,2026-08-16 02:57,44.0,15 Temmuz Köprüsü,HGS-A
TX00227,66 JM 9255,2026-08-15 21:51,22.0,TEM Otoyol G.,HGS-A
TX00228,01 SN 842,2026-08-14 11:44,13.25,Avrasya Tüneli,HGS-A
TX00229,09 ZK 4803,2026-08-14 05:49,17.5,TEM Otoyol G.,HGS-C
TX00230,54 IV 7448,2026-08-28 12:24,13.25,TEM Otoyol G.,HGS-C
TX00231,18 PH 3024,2026-08-18 12:33,17.5,TEM Otoyol G.,HGS-A
TX00232,03 ZK 9020,2026-08-14 17:24,17.5,Zincirlikuyu G.,HGS-B
TX00233,36 EV 1948,2026-08-02 21:26,44.0,Kavacık G.,HGS-A
TX00234,13 NK 897,2026-08-08 23:02,35.75,15 Temmuz Köprüsü,HGS-A
TX00235,08 DZ 3936,2026-08-27 23:36,22.0,Avrasya Tüneli,HGS-C
TX00236,42 FV 8640,2026-08-08 13:19,22.0,Kavacık G.,HGS-C
TX00237,23 OJ 8220,2026-08-02 11:41,8.5,15 Temmuz Köprüsü,HGS-C
TX00238,54 JG 3112,2026-08-25 17:30,17.5,Zincirlikuyu G.,HGS-B
TX00239,19 TY 9314,2026-08-14 13:35,44.0,Zincirlikuyu G.,HGS-B
TX00240,27 HB 7469,2026-08-28 11:05,47.0,TEM Otoyol G.,HGS-A
TX00241,78 NV 3182,2026-08-26 18:46,8.5,Avrasya Tüneli,HGS-A
TX00242,43 GV 3570,2026-08-30 06:47,13.25,TEM Otoyol G.,HGS-B
TX00243,78 RJ 4021,2026-08-18 10:49,22.0,15 Temmuz Köprüsü,HGS-B
TX00244,46 HI 8247,2026-08-15 03:51,8.5,15 Temmuz Köprüsü,HGS-B
TX00245,48 HB 3725,2026-08-24 04:01,22.0,Avrasya Tüneli,HGS-C
TX00246,54 GE 3868,2026-08-13 18:53,17.5,15 Temmuz Köprüsü,HGS-C
TX00247,44 FT 8137,2026-08-15 05:46,22.0,Zincirlikuyu G.,HGS-A
TX00248,63 EV 1062,2026-08-17 01:53,13.25,TEM Otoyol G.,HGS-A
TX00249,53 DO 1213,2026-08-23 04:00,17.5,Avrasya Tüneli,HGS-B
TX00250,80 OY 8016,2026-08-22 15:01,13.25,Avrasya Tüneli,HGS-C
TX00251,03 MG 4797,2026-08-01 16:52,8.5,TEM Otoyol G.,HGS-B
TX00252,23 CC 2539,2026-08-08 06:39,44.0,Fatih SM G.,HGS-B
TX00253,51 BZ 7620,2026-08-19 07:44,17.5,Fatih SM G.,HGS-C
TX00254,11 PU 619,2026-08-03 12:24,30.75,Avrasya Tüneli,HGS-B
TX00255,22 BU 5527,2026-08-19 03:57,44.0,Kavacık G.,HGS-A
TX00256,73 KB 1318,2026-08-22 08:57,45.5,Avrasya Tüneli,HGS-C
TX00257,03 ZN 6625,2026-08-30 02:19,17.5,Avrasya Tüneli,HGS-A
TX00258,50 PM 6388,2026-08-25 23:08,8.5,TEM Otoyol G.,HGS-A
TX00259,45 BK 1345,2026-08-11 19:49,44.0,Avrasya Tüneli,HGS-B
TX00260,42 AG 7481,2026-08-16 07:22,44.0,15 Temmuz Köprüsü,HGS-B
TX00261,75 PB 4939,2026-08-26 07:45,13.25,Kavacık G.,HGS-B
TX00261,75 PB 4939,2026-08-26 07:45,13.25,Kavacık G.,HGS-B
TX00262,20 SH 1845,2026-08-03 11:19,35.75,Fatih SM G.,HGS-B
TX00263,24 JM 8495,2026-08-15 23:01,13.25,Fatih SM G.,HGS-C
TX00264,42 UA 6879,2026-08-13 02:46,44.0,Zincirlikuyu G.,HGS-C
TX00265,49 DG 4497,2026-08-16 04:04,17.5,15 Temmuz Köprüsü,HGS-B
TX00266,62 TI 4140,2026-08-24 20:31,44.0,Avrasya Tüneli,HGS-A
TX00267,18 HY 5543,2026-08-27 19:24,22.0,15 Temmuz Köprüsü,HGS-B
TX00268,77 DH 3390,2026-08-16 10:11,35.75,Fatih SM G.,HGS-B
TX00269,63 ZS 5439,2026-08-13 08:52,35.75,Fatih SM G.,HGS-A
TX00270,26 NM 9112,2026-08-01 23:29,8.5,Zincirlikuyu G.,HGS-B
TX00271,09 TT 6803,2026-08-22 15:08,8.5,Fatih SM G.,HGS-A
TX00272,20 RT 1311,2026-08-15 19:30,44.0,15 Temmuz Köprüsü,HGS-C
TX00273,54 MT 5990,2026-08-23 17:38,8.5,Kavacık G.,HGS-A
TX00274,46 DO 9327,2026-08-22 09:41,35.75,Fatih SM G.,HGS-B
TX00275,34 FS 9242,2026-08-19 22:36,17.5,15 Temmuz Köprüsü,HGS-B
TX00276,76 PD 502,2026-08-16 03:18,35.75,Kavacık G.,HGS-A
TX00277,19 IH 3489,2026-08-17 15:22,35.75,Kavacık G.,HGS-B
TX00278,58 HG 1985,2026-08-01 10:41,13.25,TEM Otoyol G.,HGS-A
TX00279,32 LM 5522,2026-08-18 13:29,17.5,15 Temmuz Köprüsü,HGS-C
TX00280,56 JR 3332,2026-08-15 18:27,35.75,Kavacık G.,HGS-C
TX00281,36 ST 1125,2026-08-19 03:51,44.0,Zincirlikuyu G.,HGS-B
TX00282,59 CP 8119,2026-08-17 20:20,44.0,15 Temmuz Köprüsü,HGS-C
TX00283,15 IU 2926,2026-08-28 11:45,22.0,Avrasya Tüneli,HGS-C
TX00284,41 CH 3099,2026-08-12 22:09,44.0,15 Temmuz Köprüsü,HGS-B
TX00285,74 IE 8904,2026-08-23 20:59,17.5,Avrasya Tüneli,HGS-A
TX00286,18 EU 978,2026-08-28 11:00,35.75,Zincirlikuyu G.,HGS-A
TX00287,72 LL 8156,2026-08-15 05:53,35.75,15 Temmuz Köprüsü,HGS-A
TX00288,29 GG 8908,2026-08-10 05:49,35.75,Avrasya Tüneli,HGS-C
TX00289,64 MC 1971,2026-08-09 17:52,22.0,Avrasya Tüneli,HGS-A
TX00290,57 MZ 1777,2026-08-24 20:48,17.5,Fatih SM G.,HGS-A
TX00291,45 UC 2023,2026-08-25 07:13,8.5,Avrasya Tüneli,HGS-C
TX00292,79 OD 2381,2026-08-26 06:52,17.5,Kavacık G.,HGS-C
TX00294,53 YZ 2178,2026-08-23 04:15,17.5,TEM Otoyol G.,HGS-B
TX00295,51 LN 4502,2026-08-21 13:24,35.75,Kavacık G.,HGS-C
TX00296,12 JS 6146,2026-08-17 02:20,44.0,Kavacık G.,HGS-C
TX00297,46 UT 6616,2026-08-07 13:52,17.5,15 Temmuz Köprüsü,HGS-B
TX00298,37 HN 9375,2026-08-28 15:50,25.0,TEM Otoyol G.,HGS-A
TX00299,03 CU 7330,2026-08-15 00:27,17.5,TEM Otoyol G.,HGS-A
TX00300,39 DY 4589,2026-08-03 20:23,22.0,Kavacık G.,HGS-B
TX00301,22 BO 3936,2026-08-14 20:05,8.5,Kavacık G.,HGS-A
TX00302,10 DF 7391,2026-08-01 00:44,22.0,Kavacık G.,HGS-B
TX00303,62 BI 1778,2026-08-04 10:23,22.0,Zincirlikuyu G.,HGS-B
TX00304,18 OP 1220,2026-08-17 18:00,44.0,TEM Otoyol G.,HGS-A
TX00306,16 NI 7135,2026-08-11 04:15,22.0,TEM Otoyol G.,HGS-A
TX00307,77 NN 539,2026-08-28 21:56,22.0,Zincirlikuyu G.,HGS-C
TX00308,25 SG 994,2026-08-26 07:31,35.75,Kavacık G.,HGS-A
TX00309,77 BV 297,2026-08-12 10:08,35.75,Avrasya Tüneli,HGS-B
TX00310,23 SY 1295,2026-08-01 18:04,8.25,Fatih SM G.,HGS-A
TX00311,51 LO 8309,2026-08-25 13:27,8.5,15 Temmuz Köprüsü,HGS-A
TX00312,69 OG 5177,2026-08-03 16:58,17.5,Zincirlikuyu G.,HGS-C
TX00313,76 OU 1183,2026-08-10 22:27,8.5,Zincirlikuyu G.,HGS-A
TX00314,56 CO 1001,2026-08-11 11:47,8.5,TEM Otoyol G.,HGS-A
