islem_id,durum,hata_tipi,detay
TX00109,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00110,UYUSTU,-,-
TX00111,UYUSTU,-,-
TX00112,UYUSTU,-,-
TX00113,UYUSTU,-,-
TX00114,UYUSTU,-,-
TX00115,UYUSTU,-,-
TX00116,UYUSTU,-,-
TX00117,UYUSTU,-,-
TX00118,UYUSTU,-,-
TX00119,UYUSMUYOR,TUTAR_FARKI,"HGS: 8.5 TL, Banka: 10.0 TL (fark: 1.5 TL)"
TX00120,UYUSTU,-,-
TX00121,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 7.0 saat
TX00122,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 32.0 saat
TX00123,UYUSTU,-,-
TX00124,UYUSTU,-,-
TX00125,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 45.0 saat
TX00126,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 13.0 saat
TX00127,UYUSTU,-,-
TX00128,UYUSTU,-,-
TX00129,UYUSTU,-,-
TX00130,UYUSTU,-,-
TX00131,UYUSTU,-,-
TX00132,UYUSMUYOR,TUTAR_FARKI,"HGS: 8.5 TL, Banka: 10.0 TL (fark: 1.5 TL)"
TX00133,UYUSTU,-,-
TX00134,UYUSTU,-,-
TX00135,UYUSTU,-,-
TX00136,UYUSTU,-,-
TX00137,UYUSTU,-,-
TX00138,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 37.0 saat
TX00139,UYUSTU,-,-
TX00140,UYUSTU,-,-
TX00141,UYUSTU,-,-
TX00142,UYUSTU,-,-
TX00143,UYUSTU,-,-
TX00144,UYUSTU,-,-
TX00145,UYUSTU,-,-
TX00146,UYUSTU,-,-
TX00147,UYUSMUYOR,TUTAR_FARKI,"HGS: 13.25 TL, Banka: 8.25 TL (fark: 5.0 TL)"
TX00148,UYUSTU,-,-
TX00149,UYUSTU,-,-
TX00150,UYUSTU,-,-
TX00151,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 30.0 saat
TX00152,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00153,UYUSTU,-,-
TX00154,UYUSMUYOR,TUTAR_FARKI,"HGS: 35.75 TL, Banka: 37.25 TL (fark: 1.5 TL)"
TX00155,UYUSTU,-,-
TX00156,UYUSTU,-,-
TX00157,UYUSTU,-,-
TX00158,UYUSTU,-,-
TX00159,UYUSTU,-,-
TX00160,UYUSTU,-,-
TX00161,UYUSTU,-,-
TX00162,UYUSTU,-,-
TX00163,UYUSTU,-,-
TX00164,UYUSTU,-,-
TX00165,UYUSTU,-,-
TX00166,UYUSTU,-,-
TX00167,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 29.0 saat
TX00168,UYUSTU,-,-
TX00169,UYUSTU,-,-
TX00170,UYUSTU,-,-
TX00171,UYUSTU,-,-
TX00172,UYUSTU,-,-
TX00173,UYUSTU,-,-
TX00174,UYUSMUYOR,TUTAR_FARKI,"HGS: 13.25 TL, Banka: 10.75 TL (fark: 2.5 TL)"
TX00175,UYUSTU,-,-
TX00176,UYUSTU,-,-
TX00177,UYUSMUYOR,TUTAR_FARKI,"HGS: 44.0 TL, Banka: 39.0 TL (fark: 5.0 TL)"
TX00178,UYUSTU,-,-
TX00179,UYUSTU,-,-
TX00180,UYUSTU,-,-
TX00181,UYUSTU,-,-
TX00182,UYUSTU,-,-
TX00183,UYUSTU,-,-
TX00184,UYUSTU,-,-
TX00185,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 26.0 saat
TX00186,UYUSTU,-,-
TX00187,UYUSTU,-,-
TX00188,UYUSTU,-,-
TX00189,UYUSTU,-,-
TX00190,UYUSTU,-,-
TX00191,UYUSTU,-,-
TX00192,UYUSTU,-,-
TX00193,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 21.0 saat
TX00194,UYUSTU,-,-
TX00195,UYUSTU,-,-
TX00196,UYUSMUYOR,TUTAR_FARKI,"HGS: 44.0 TL, Banka: 47.0 TL (fark: 3.0 TL)"
TX00197,UYUSTU,-,-
TX00198,UYUSTU,-,-
TX00199,UYUSTU,-,-
TX00200,UYUSTU,-,-
TX00201,UYUSTU,-,-
TX00202,UYUSTU,-,-
TX00203,UYUSTU,-,-
TX00204,UYUSTU,-,-
TX00205,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 7.0 saat
TX00206,UYUSTU,-,-
TX00207,UYUSTU,-,-
TX00208,UYUSTU,-,-
TX00209,UYUSTU,-,-
TX00210,UYUSTU,-,-
TX00211,UYUSTU,-,-
TX00212,UYUSTU,-,-
TX00213,UYUSTU,-,-
TX00214,UYUSTU,-,-
TX00215,UYUSTU,-,-
TX00216,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 27.0 saat
TX00217,UYUSTU,-,-
TX00218,UYUSTU,-,-
TX00219,UYUSTU,-,-
TX00220,UYUSTU,-,-
TX00221,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 25.0 saat
TX00222,UYUSTU,-,-
TX00223,UYUSTU,-,-
TX00224,UYUSTU,-,-
TX00225,UYUSTU,-,-
TX00226,UYUSTU,-,-
TX00227,UYUSTU,-,-
TX00228,UYUSTU,-,-
TX00229,UYUSTU,-,-
TX00230,UYUSTU,-,-
TX00231,UYUSTU,-,-
TX00232,UYUSTU,-,-
TX00233,UYUSTU,-,-
TX00234,UYUSTU,-,-
TX00235,UYUSTU,-,-
TX00236,UYUSTU,-,-
TX00237,UYUSTU,-,-
TX00238,UYUSTU,-,-
TX00239,UYUSTU,-,-
TX00240,UYUSMUYOR,TUTAR_FARKI,"HGS: 44.0 TL, Banka: 47.0 TL (fark: 3.0 TL)"
TX00241,UYUSTU,-,-
TX00242,UYUSTU,-,-
TX00243,UYUSTU,-,-
TX00244,UYUSTU,-,-
TX00245,UYUSTU,-,-
TX00246,UYUSTU,-,-
TX00247,UYUSTU,-,-
TX00248,UYUSTU,-,-
TX00249,UYUSTU,-,-
TX00250,UYUSTU,-,-
TX00251,UYUSTU,-,-
TX00252,UYUSTU,-,-
TX00253,UYUSTU,-,-
TX00254,UYUSMUYOR,TUTAR_FARKI,"HGS: 35.75 TL, Banka: 30.75 TL (fark: 5.0 TL)"
TX00255,UYUSTU,-,-
TX00256,UYUSMUYOR,TUTAR_FARKI,"HGS: 44.0 TL, Banka: 45.5 TL (fark: 1.5 TL)"
TX00257,UYUSTU,-,-
TX00258,UYUSTU,-,-
TX00259,UYUSTU,-,-
TX00260,UYUSTU,-,-
TX00261,UYUSMUYOR,MUKERRER_KAYIT,Bankada 2 kez tekrar etmiş
TX00262,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 11.0 saat
TX00263,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 44.0 saat
TX00264,UYUSTU,-,-
TX00265,UYUSTU,-,-
TX00266,UYUSTU,-,-
TX00267,UYUSTU,-,-
TX00268,UYUSTU,-,-
TX00269,UYUSTU,-,-
TX00270,UYUSTU,-,-
TX00271,UYUSTU,-,-
TX00272,UYUSTU,-,-
TX00273,UYUSTU,-,-
TX00274,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 12.0 saat
TX00275,UYUSTU,-,-
TX00276,UYUSTU,-,-
TX00277,UYUSTU,-,-
TX00278,UYUSTU,-,-
TX00279,UYUSTU,-,-
TX00280,UYUSTU,-,-
TX00281,UYUSTU,-,-
TX00282,UYUSTU,-,-
TX00283,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 14.0 saat
TX00284,UYUSTU,-,-
TX00285,UYUSTU,-,-
TX00286,UYUSTU,-,-
TX00287,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 7.0 saat
TX00288,UYUSTU,-,-
TX00289,UYUSTU,-,-
TX00290,UYUSTU,-,-
TX00291,UYUSTU,-,-
TX00292,UYUSTU,-,-
TX00293,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00294,UYUSTU,-,-
TX00295,UYUSTU,-,-
TX00296,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 35.0 saat
TX00297,UYUSTU,-,-
TX00298,UYUSMUYOR,TUTAR_FARKI,"HGS: 22.0 TL, Banka: 25.0 TL (fark: 3.0 TL)"
TX00299,UYUSTU,-,-
TX00300,UYUSTU,-,-
TX00301,UYUSTU,-,-
TX00302,UYUSTU,-,-
TX00303,UYUSTU,-,-
TX00304,UYUSTU,-,-
TX00305,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00306,UYUSTU,-,-
TX00307,UYUSTU,-,-
TX00308,UYUSTU,-,-
TX00309,UYUSTU,-,-
TX00310,UYUSMUYOR,TUTAR_FARKI,"HGS: 13.25 TL, Banka: 8.25 TL (fark: 5.0 TL)"
TX00311,UYUSTU,-,-
TX00312,UYUSTU,-,-
TX00313,UYUSTU,-,-
TX00314,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 14.0 saat
TX00315,UYUSTU,-,-
TX00316,UYUSTU,-,-
TX00317,UYUSMUYOR,MUKERRER_KAYIT,Bankada 2 kez tekrar etmiş
TX00318,UYUSTU,-,-
TX00319,UYUSTU,-,-
TX00320,UYUSTU,-,-
TX00321,UYUSTU,-,-
TX00322,UYUSTU,-,-
TX00323,UYUSTU,-,-
TX00324,UYUSTU,-,-
TX00325,UYUSMUYOR,TUTAR_FARKI,"HGS: 8.5 TL, Banka: 6.0 TL (fark: 2.5 TL)"
TX00326,UYUSTU,-,-
TX00327,UYUSTU,-,-
TX00328,UYUSTU,-,-
TX00329,UYUSTU,-,-
TX00330,UYUSTU,-,-
TX00331,UYUSMUYOR,TUTAR_FARKI,"HGS: 22.0 TL, Banka: 23.5 TL (fark: 1.5 TL)"
TX00332,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 12.0 saat
TX00333,UYUSTU,-,-
TX00334,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 27.0 saat
TX00335,UYUSMUYOR,TUTAR_FARKI,"HGS: 8.5 TL, Banka: 11.5 TL (fark: 3.0 TL)"
TX00336,UYUSTU,-,-
TX00337,UYUSTU,-,-
TX00338,UYUSTU,-,-
TX00339,UYUSTU,-,-
TX00340,UYUSTU,-,-
TX00341,UYUSTU,-,-
TX00342,UYUSTU,-,-
TX00343,UYUSMUYOR,TUTAR_FARKI,"HGS: 35.75 TL, Banka: 33.25 TL (fark: 2.5 TL)"
TX00344,UYUSMUYOR,TUTAR_FARKI,"HGS: 8.5 TL, Banka: 6.0 TL (fark: 2.5 TL)"
TX00345,UYUSTU,-,-
TX00346,UYUSTU,-,-
TX00347,UYUSTU,-,-
TX00348,UYUSTU,-,-
TX00349,UYUSTU,-,-
TX00350,UYUSMUYOR,TUTAR_FARKI,"HGS: 17.5 TL, Banka: 19.0 TL (fark: 1.5 TL)"
TX00351,UYUSTU,-,-
TX00352,UYUSTU,-,-
TX00353,UYUSMUYOR,TUTAR_FARKI,"HGS: 35.75 TL, Banka: 30.75 TL (fark: 5.0 TL)"
TX00354,UYUSTU,-,-
TX00355,UYUSTU,-,-
TX00356,UYUSTU,-,-
TX00357,UYUSTU,-,-
TX00358,UYUSTU,-,-
TX00359,UYUSTU,-,-
TX00360,UYUSTU,-,-
TX00361,UYUSTU,-,-
TX00362,UYUSTU,-,-
TX00363,UYUSTU,-,-
TX00364,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 41.0 saat
TX00365,UYUSTU,-,-
TX00366,UYUSTU,-,-
TX00367,UYUSTU,-,-
TX00368,UYUSMUYOR,TUTAR_FARKI,"HGS: 22.0 TL, Banka: 25.0 TL (fark: 3.0 TL)"
TX00369,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 20.0 saat
TX00370,UYUSTU,-,-
TX00371,UYUSTU,-,-
TX00372,UYUSTU,-,-
TX00373,UYUSTU,-,-
TX00374,UYUSTU,-,-
TX00375,UYUSMUYOR,TUTAR_FARKI,"HGS: 8.5 TL, Banka: 3.5 TL (fark: 5.0 TL)"
TX00376,UYUSTU,-,-
TX00377,UYUSTU,-,-
TX00378,UYUSTU,-,-
TX00379,UYUSTU,-,-
TX00380,UYUSTU,-,-
TX00381,UYUSTU,-,-
TX00382,UYUSTU,-,-
TX00383,UYUSTU,-,-
TX00384,UYUSTU,-,-
TX00385,UYUSTU,-,-
TX00386,UYUSTU,-,-
TX00387,UYUSTU,-,-
TX00388,UYUSTU,-,-
TX00389,UYUSTU,-,-
TX00390,UYUSTU,-,-
TX00391,UYUSMUYOR,TUTAR_FARKI,"HGS: 22.0 TL, Banka: 17.0 TL (fark: 5.0 TL)"
TX00392,UYUSTU,-,-
TX00393,UYUSTU,-,-
TX00394,UYUSTU,-,-
TX00395,UYUSTU,-,-
TX00396,UYUSTU,-,-
TX00397,UYUSTU,-,-
TX00398,UYUSTU,-,-
TX00399,UYUSTU,-,-
TX00400,UYUSTU,-,-
TX00401,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00402,UYUSTU,-,-
TX00403,UYUSTU,-,-
TX00404,UYUSTU,-,-
TX00405,UYUSTU,-,-
TX00406,UYUSTU,-,-
TX00407,UYUSTU,-,-
TX00408,UYUSMUYOR,TUTAR_FARKI,"HGS: 35.75 TL, Banka: 37.25 TL (fark: 1.5 TL)"
TX00409,UYUSTU,-,-
TX00410,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00411,UYUSMUYOR,TUTAR_FARKI,"HGS: 35.75 TL, Banka: 38.75 TL (fark: 3.0 TL)"
TX00412,UYUSTU,-,-
TX00413,UYUSTU,-,-
TX00414,UYUSTU,-,-
TX00415,UYUSTU,-,-
TX00416,UYUSMUYOR,TUTAR_FARKI,"HGS: 13.25 TL, Banka: 14.75 TL (fark: 1.5 TL)"
TX00417,UYUSTU,-,-
TX00418,UYUSTU,-,-
TX00419,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00420,UYUSTU,-,-
TX00421,UYUSTU,-,-
TX00422,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00423,UYUSTU,-,-
TX00424,UYUSTU,-,-
TX00425,UYUSTU,-,-
TX00426,UYUSMUYOR,TUTAR_FARKI,"HGS: 13.25 TL, Banka: 10.75 TL (fark: 2.5 TL)"
TX00427,UYUSTU,-,-
TX00428,UYUSTU,-,-
TX00429,UYUSTU,-,-
TX00430,UYUSTU,-,-
TX00431,UYUSTU,-,-
TX00432,UYUSTU,-,-
TX00433,UYUSTU,-,-
TX00434,UYUSTU,-,-
TX00435,UYUSTU,-,-
TX00436,UYUSMUYOR,TUTAR_FARKI,"HGS: 35.75 TL, Banka: 37.25 TL (fark: 1.5 TL)"
TX00437,UYUSTU,-,-
TX00438,UYUSMUYOR,TUTAR_FARKI,"HGS: 44.0 TL, Banka: 41.5 TL (fark: 2.5 TL)"
TX00439,UYUSTU,-,-
TX00440,UYUSTU,-,-
TX00441,UYUSTU,-,-
TX00442,UYUSTU,-,-
TX00443,UYUSTU,-,-
TX00444,UYUSTU,-,-
TX00445,UYUSTU,-,-
TX00446,UYUSTU,-,-
TX00447,UYUSTU,-,-
TX00448,UYUSTU,-,-
TX00449,UYUSTU,-,-
TX00450,UYUSTU,-,-
TX00451,UYUSTU,-,-
TX00452,UYUSTU,-,-
TX00453,UYUSTU,-,-
TX00454,UYUSTU,-,-
TX00455,UYUSTU,-,-
TX00456,UYUSTU,-,-
TX00457,UYUSMUYOR,TUTAR_FARKI,"HGS: 35.75 TL, Banka: 33.25 TL (fark: 2.5 TL)"
TX00458,UYUSTU,-,-
TX00459,UYUSTU,-,-
TX00460,UYUSTU,-,-
TX00461,UYUSTU,-,-
TX00462,UYUSTU,-,-
TX00463,UYUSTU,-,-
TX00464,UYUSTU,-,-
TX00465,UYUSMUYOR,TUTAR_FARKI,"HGS: 17.5 TL, Banka: 12.5 TL (fark: 5.0 TL)"
TX00466,UYUSTU,-,-
TX00467,UYUSTU,-,-
TX00468,UYUSMUYOR,EKSIK_KAYIT,"HGS'de var, bankaya hiç düşmemiş"
TX00469,UYUSTU,-,-
TX00470,UYUSTU,-,-
TX00471,UYUSTU,-,-
TX00472,UYUSTU,-,-
TX00473,UYUSTU,-,-
TX00474,UYUSTU,-,-
TX00475,UYUSTU,-,-
TX00476,UYUSTU,-,-
TX00477,UYUSTU,-,-
TX00478,UYUSTU,-,-
TX00479,UYUSMUYOR,TUTAR_FARKI,"HGS: 8.5 TL, Banka: 11.5 TL (fark: 3.0 TL)"
TX00480,UYUSTU,-,-
TX00481,UYUSMUYOR,TUTAR_FARKI,"HGS: 22.0 TL, Banka: 19.5 TL (fark: 2.5 TL)"
TX00482,UYUSTU,-,-
TX00483,UYUSTU,-,-
TX00484,UYUSTU,-,-
TX00485,UYUSMUYOR,TUTAR_FARKI,"HGS: 35.75 TL, Banka: 33.25 TL (fark: 2.5 TL)"
TX00486,UYUSTU,-,-
TX00487,UYUSTU,-,-
TX00488,UYUSTU,-,-
TX00489,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 27.0 saat
TX00490,UYUSTU,-,-
TX00491,UYUSTU,-,-
TX00492,UYUSTU,-,-
TX00493,UYUSTU,-,-
TX00494,UYUSTU,-,-
TX00495,UYUSTU,-,-
TX00496,UYUSTU,-,-
TX00497,UYUSTU,-,-
TX00498,UYUSTU,-,-
TX00499,UYUSTU,-,-
TX00500,UYUSMUYOR,GECIKMELI_BILDIRIM,Fark: 16.0 saat
TXX000,UYUSMUYOR,HGS_TARAFINDA_YOK,"Kayıt bankada var, HGS'de yok (yabancı/hatalı kayıt olabilir)"
TXX001,UYUSMUYOR,HGS_TARAFINDA_YOK,"Kayıt bankada var, HGS'de yok (yabancı/hatalı kayıt olabilir)"
TXX002,UYUSMUYOR,HGS_TARAFINDA_YOK,"Kayıt bankada var, HGS'de yok (yabancı/hatalı kayıt olabilir)"
TXX003,UYUSMUYOR,HGS_TARAFINDA_YOK,"Kayıt bankada var, HGS'de yok (yabancı/hatalı kayıt olabilir)"
TXX004,UYUSMUYOR,HGS_TARAFINDA_YOK,"Kayıt bankada var, HGS'de yok (yabancı/hatalı kayıt olabilir)"
TXX005,UYUSMUYOR,HGS_TARAFINDA_YOK,"Kayıt bankada var, HGS'de yok (yabancı/hatalı kayıt olabilir)"
